HUMAN,Monday A BHS,Monday A Red,Monday A Blue,Tuesday A BHS,Tuesday  A Red,Tuesday A Blue,Wednesday A BHS,Wednesday A Red,Wednesday A Blue,Thursday A BHS,Thursday A Red,Thursday A Blue,Friday A BHS,Friday A Red,Friday A Blue,Monday B BHS,Monday B Red,Monday B Blue,Tuesday B BHS,Tuesday B Red,Tuesday B Blue,Wednesday B BHS,Wednesday B Red,Wednesday B Blue,Thursday B BHS,Thursday B Red,Thursday B Blue,Friday B  BHS,Friday B Red,Friday B Blue
7:30 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:31 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:32 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:33 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:34 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:35 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:36 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:37 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:38 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:39 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:40 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:41 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:42 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:43 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:44 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:45 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:46 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
7:47 AM,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z9,Z9,
