Minute,Monday A BHS,Monday A Red,Monday A Blue,Tuesday A BHS,Tuesday  A Red,Tuesday A Blue,Wednesday A BHS,Wednesday A Red,Wednesday A Blue,Thursday A BHS,Thursday A Red,Thursday A Blue,Friday A BHS,Friday A Red,Friday A Blue,Monday B BHS,Monday B Red,Monday B Blue,Tuesday B BHS,Tuesday B Red,Tuesday B Blue,Wednesday B BHS,Wednesday B Red,Wednesday B Blue,Thursday B BHS,Thursday B Red,Thursday B Blue,Friday B  BHS,Friday B Red,Friday B Blue
7:30,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:31,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:32,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:33,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:34,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:35,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:36,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:37,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:38,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:39,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:40,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:41,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:42,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:43,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:44,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:45,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:46,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:47,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:48,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:49,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:50,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:51,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:52,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:53,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:54,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:55,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:56,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:57,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:58,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
7:59,Z1,Z1,,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
8:00,Z1,Z1,A1,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,B4,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
8:01,Z1,Z1,A1,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,B4,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
8:02,Z1,Z1,A1,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,B4,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
8:03,Z1,Z1,A1,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,B4,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
8:04,Z1,Z1,A1,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,B4,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
8:05,Z1,Z1,A1,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,B4,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
8:06,Z1,Z1,A1,Z2,,,Z3,Z3,,Z4,Z4,,Z5,Z5,B4,Z6,Z6,,Z7,Z7,,Z8,Z8,,,,,Z10,Z10,
